channel_group_name,state,testing_point,opps,bids,win_rate,sold,binds,quotes,click_to_quote,channel_quote,click_to_channel_quote,q2b,channel_binds,channel_q2b,cpc,avg_bid,win_rate_uplift_state,cpc_uplift_state,win_rate_uplift_channel,cpc_uplift_channel,performance,roe,combined_ratio,win_rate_uplift,cpc_uplift,additional_clicks,expected_bind_change,additional_budget_needed,current_cpb,expected_cpb,cpb_uplift,stat_sig,stat_sig_channel_group,stat_sig_source,recommended_testing_point,segment
Group 10 MCH,OR,5,797,797,0.0037641154328732747,3,0,2,0.002509410288582183,6,0.0007098071690524074,0.07815213615838833,26,0.07498017732285735,5.503333333333334,4.085156838143029,-0.2632599520930763,-0.10955848103748383,0.41599716681291626,0.16250093711740202,,0,0,0.41599716681291626,0.16250093711740202,-11.369577392229683,-0.31954065131343284,-85.30456712672523,,-547.9910995784895,,low,high,channel only,0,MCH
Group 10 MCH,OR,10,854,854,0.00819672131147541,7,0,0,0,6,0.0007098071690524074,0.07815213615838833,26,0.07498017732285735,7.698571428571428,4.45161592505855,0.6043219076005963,0.2456319146030109,0.2762651073237634,0.09057120956548433,,0,0,0.2762651073237634,0.09057120956548433,26.09924009959417,0.673729699644391,273.00003512880556,,791.7270611795069,,low,high,channel only,0,MCH
Group 10 MCR,OR,-20,82,82,0,0,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,,0.9852439024390245,-1,,-0.26160330474838783,,,0,0,-0.26160330474838783,,-14.244755244755245,-0.39347099208373293,,,,,low,mid,channel only,0,MCR
Group 10 MCR,OR,-15,975,975,0.0020512820512820513,2,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,2.065,1.3165846153846157,0.4666666666666667,-0.3618101545253862,1.1147362960150242,0.2879137607908793,,0,0,1.1147362960150242,0.2879137607908793,6.647552447552448,0.1783806688037864,-2.177384615384611,,241.8570110423289,,low,high,channel only,0,MCR
Group 10 MCR,OR,-10,1021,1021,0.0009794319294809011,1,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,2.02,1.382350636630755,-0.2997061704211557,-0.3757174392935981,-0.3354937263583264,-0.15523708307650466,,0,0,-0.3354937263583264,-0.15523708307650466,-4.269241042992267,-0.11000130252088021,-25.169461312438777,,-183.18454623513466,,low,high,channel only,0,MCR
Group 10 MCR,OR,-5,928,928,0.0010775862068965517,1,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,3.52,1.4732219827586213,-0.22952586206896552,0.08785871964679941,-0.6449952686092797,-0.3053682800597152,,0,0,-0.6449952686092797,-0.3053682800597152,-3.269539727513866,-0.0913357116124464,-6.687241379310336,,-422.9753941658143,,low,low,channel only,0,MCR
Group 10 MCR,OR,0,5005,5005,0.0013986013986013986,7,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,3.235714285714285,1.5090229770229782,,,,,,0,0,,,0,0,0.7719580419580367,,,,baseline,baseline,baseline,0,MCR
Group 10 MCR,OR,5,927,927,0,0,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,,1.5448327939590076,-1,,-0.5387972720394062,,,0,0,-0.5387972720394062,,-14.244755244755245,-0.4073397099566501,,,,,low,low,channel only,0,MCR
Group 10 MCR,OR,10,1095,1095,0.0036529680365296802,4,0,1,0.0009132420091324201,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,3.25,1.628931506849315,1.6118721461187213,0.004415011037527854,-0.11982382224873467,-0.13534482378766136,,0,0,-0.11982382224873467,-0.13534482378766136,22.96072420729955,0.6030639616927508,75.59780821917809,,200.50577699879756,,low,low,channel only,0,MCR
Group 10 MCR,OR,20,80,80,0,0,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,,1.2385,-1,,0.2701445777472414,,,0,0,0.2701445777472414,,-14.244755244755245,-0.27565819096969535,,,,,low,mid,channel only,0,MCR
Group 10 MCR,OR,30,72,72,0,0,0,0,0,1,0.00009818360333824252,0.0441400304414003,4,0.07628979143798024,,1.4276388888888887,-1,,0.6750383093649561,,,0,0,0.6750383093649561,,-14.244755244755245,-0.3337200540282729,,,,,low,high,channel only,0,MCR
Group 10 SCH,OR,-20,859,859,0.0011641443538998836,1,0,0,0,0,0,0.05909617612977984,6,0.060943846702427834,0.95,1.0857275902211891,-0.603205874451509,-0.41190476190476194,-0.4125117912466331,-0.1250052332222897,,0,0,-0.4125117912466331,-0.1250052332222897,-15.674504082649785,-0.34587165608519554,-37.3047147846333,,-28.32057800351792,,low,high,channel only,0,SCH
Group 10 SCH,OR,-10,923,923,0.0021668472372697724,2,0,0,0,0,0,0.05909617612977984,6,0.060943846702427834,1.6400000000000001,1.2219176598049835,-0.26143845320443376,0.015238095238095294,-0.23588931753769224,-0.06419942193629181,,0,0,-0.23588931753769224,-0.06419942193629181,-6.793564644642679,-0.13983255700618433,-15.625503791982666,,-225.08703896922464,,low,high,channel only,0,SCH
Group 10 SCH,OR,0,4431,4431,0.002933874971789664,13,0,0,0,0,0,0.05909617612977984,6,0.060943846702427834,1.6153846153846154,1.3036312344843155,,,,,,0,0,,,0,0,-5.123696682464455,,,,baseline,baseline,baseline,0,SCH
Group 10 SCH,OR,10,878,878,0.004555808656036446,4,0,0,0,0,0,0.05909617612977984,6,0.060943846702427834,1.8425,1.4405694760820054,0.5528298580690378,0.14059523809523808,0.2930484401897227,0.027413345287333024,,0,0,0.2930484401897227,0.027413345287333024,14.36546664137375,0.3014122976273675,27.24634396355352,,246.65995564476617,,low,high,channel only,0,SCH
Group 10 SCH,OR,20,849,849,0,0,0,0,0,0,0,0.05909617612977984,6,0.060943846702427834,,1.5375971731448772,-1,,0.6226070173900135,,,0,0,0.6226070173900135,,-25.985330625141053,-0.4017053283843218,,,,,low,high,channel only,0,SCH
